ID de la compétence parente;ID;Nom abrégé;Description;Format de description;Valeurs du barème;configuration du barème;Type de règle de compétence (optionnelle);Règle d'objectif (optionnelle);Règle de paramétrage (optionnelle);IDs des compétences croisées associées;ID d'exportation (optionnel);Est un référentiel;Taxonomie
1.1.1.4.0.0;1.1.1.4.0.1;"Distinguer les différentes juridictions nationales et européennes et déterminer leurs compétences ; - déterminer la juridiction compétente dans un litige donné";;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.2;Vérifier les conditions de recevabilité de l’action en justice;;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.3;Déterminer les voies de recours possibles dans une situation donnée;;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.4;Vérifier le respect des principes directeurs du procès énoncés dans le code de procédure civile et dans la convention européenne des droits de l’homme;;1;;;;;;;;;
1.1.1.4.0.0;1.1.1.4.0.5;Identifier les rôles respectifs des magistrats du siège et du ministère public;;1;;;;;;;;;
1.1.1.0.0.0;1.1.1.5.0.0;1.5 Les modes alternatifs de règlement des différends ;"<h5>Sens et portée de l’étude</h5><p>L’inflation du contentieux et l’exigence de rendre une décision de justice dans un délai raisonnable ont conduit le législateur à imposer aux parties, avant toute procédure, de montrer qu’elles ont tenté de trouver une voie de conciliation. Dans ce cadre, il existe différents modes alternatifs de résolution des différends (Mard) possibles et adaptés à des situations juridiques données. L’ensemble de ces Mard ont pour objectif de désengorger les tribunaux et d’offrir des voies rapides et souvent moins coûteuses qu’une procédure judiciaire longue et parfois aléatoire pour les parties. </p><h5>Savoirs associés</h5><ul><li>* la conciliation et la médiation : définition, acteurs, mise en œuvre et issue ; - l’arbitrage comme mode spécifique de résolution des conflits : modalités de mise en œuvre, désignation et récusation des arbitres, modalités de la sentence arbitrale et des voies de recours, avantages et inconvénients. </li></ul>";1;;;;;;;;;
1.1.1.5.0.0;1.1.1.5.0.1;Justifier l’exigence du recours aux Mard avant toute procédure contentieuse;;1;;;;;;;;;
1.1.1.5.0.0;1.1.1.5.0.2;"Distinguer les effets de chacun des Mard ; - montrer la spécificité de l’arbitrage comme mode de résolution des conflits";;1;;;;;;;;;
1.1.0.0.0.0;1.1.2.0.0.0;2- Les personnes et les biens (40 heures) ;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.1.0.0;2.1 Les personnes <h5>Sens et portée de l’étude</h5>;"<p>La personnalité juridique est l’aptitude à être sujet de droit. Celle-ci est conférée de plein droit aux personnes physiques et, sous certaines conditions, aux personnes morales. Ces dernières sont devenues des acteurs importants et incontournables de l’activité économique. Pour autant, l’étendue de leur capacité reste circonscrite à leur objet. </p><p>Pour les personnes physiques, le législateur a élaboré un système d’incapacité pour protéger les mineurs et certains majeurs victimes d’une altération de leurs facultés mentales ou corporelles. </p><h5>Savoirs associés</h5><ul><li>* la notion de personne juridique : utilité, acquisition, diversité ; </li><li>* les personnes physiques : identification, capacité ; </li><li>* les personnes morales : identification, capacité ; </li><li>* la distinction entre les actes que le mineur peut réaliser seul et les actes qui nécessitent l’autorisation de son représentant légal ou de son tuteur ; </li><li>* les trois principaux régimes de protection des majeurs : définition, mise sous placement, désignation d’un responsable du majeur, distinction entre acte d’administration et de disposition et conséquence quant à la capacité du majeur protégé. </li></ul>";1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.1;Justifier l’existence d’une personne juridique;;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.2;Identifier et caractériser les attributs de la personnalité juridique;;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.3;Analyser la capacité d’une personne à accomplir un acte juridique;;1;;;;;;;;;
1.1.2.1.0.0;1.1.2.1.0.4;Identifier un régime de protection adapté à la situation d’un majeur dans une situation donnée;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.2.0.0;2.2 Les commerçants, personnes physiques ;"<h5>Sens et portée de l’étude</h5><p>Les premiers acteurs de la vie des affaires sont les commerçants en tant que personnes physiques. Ils dirigent des entreprises individuelles qu'ils exploitent en nom propre ce qui impacte leur patrimoine personnel. Ces personnes physiques acquièrent la qualité de commerçant dès lors qu’elles accomplissent des actes de commerce à titre de profession habituelle. Dans le cadre de ses affaires, le commerçant a des obligations et a besoin de règles adaptées à son activité. </p><h5>Savoirs associés</h5><ul><li>* le principe de la liberté du commerce et ses limites ; </li><li>* la définition du commerçant ; </li><li>* les actes de commerce : régime juridique et différentes catégories ; </li><li>* les obligations et responsabilités du commerçant ; </li><li>* présentation de l’entrepreneur individuel à responsabilité limitée (EIRL), modalité de l’entreprise individuelle permettant une atténuation de la responsabilité du commerçant : création de l’EIRL insaisissabilité (notion et principales applications). </li><li>* le régime du Pacs, les régimes matrimoniaux (la communauté des biens et la séparation des biens). </li><li>* les caractéristiques des statuts du conjoint du commerçant. </li></ul>";1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.1;Identifier le commerçant;;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.2;Vérifier qu’une personne remplit les conditions pour exercer le commerce, dans une situation donnée;;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.3;Distinguer les différents actes de commerce et présenter leur régime juridique;;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.4;Analyser le statut et la situation patrimoniale du commerçant;;1;;;;;;;;;
1.1.2.2.0.0;1.1.2.2.0.5;Sélectionner un statut pour le conjoint en fonction d’une situation donnée et en mesurer les conséquences juridiques;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.3.0.0;2.3 Les autres professionnels de la vie des affaires ;<h5>Sens et portée de l’étude</h5><p>La vie des affaires n’est pas exclusivement le fait du commerce, d’autres entrepreneurs individuels développent des activités économiques. Certains d’entre eux sont des partenaires privilégiés du commerçant. Il convient de distinguer chacun de ces acteurs économiques. </p><h5>Savoirs associés</h5><ul><li>* les caractéristiques principales de l’artisan, de l’agriculteur, du professionnel libéral. </li></ul>;1;;;;;;;;;
1.1.2.3.0.0;1.1.2.3.0.1;Identifier et analyser les principes juridiques applicables aux catégories professionnelles suivantes : artisan, agriculteur, professionnel libéral;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.4.0.0;2.4 Théorie du patrimoine ;"<h5>Sens et portée de l’étude</h5><p>Dans la tradition juridique française, la naissance de la personnalité juridique s’accompagne de celle du patrimoine. Pour un commerçant personne physique, cette vision d’unicité du patrimoine n’est pas sans poser des problèmes pour le développement de l’entreprenariat. Le législateur, à partir du milieu des années 1980, va évoluer progressivement vers la création juridique d’un patrimoine d’affectation protecteur de l’entrepreneur tout en garantissant les droits des créanciers. </p><h5>Savoirs associés</h5><ul><li>* les principes de la théorie classique du patrimoine ; </li><li>* la composition du patrimoine : classification des droits et des biens ; </li><li>* le droit de gage général des créanciers du commerçant et ses limites dans une approche personnaliste du patrimoine ; </li><li>* la thèse du patrimoine d’affectation et ses manifestations dans le droit français. </li></ul>";1;;;;;;;;;
1.1.2.4.0.0;1.1.2.4.0.1;Discuter les intérêts et limites des théories du patrimoine;;1;;;;;;;;;
1.1.2.4.0.0;1.1.2.4.0.2;"Distinguer entreprise individuelle et EIRL ; - évaluer les risques patrimoniaux de l’entrepreneur dans une situation donnée";;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.5.0.0;2.5 La propriété ;"<h5>Sens et portée de l’étude</h5><p>Le droit de propriété est le plus complet des droits réels. Il donne la possibilité de tirer de la chose toutes les utilités dont elle est susceptible. </p><p>Le droit de propriété satisfait aux intérêts individuels. </p><p>Toutefois, une partie de la doctrine considère que la propriété remplit aussi une fonction sociale qui fonde toutes les entorses au droit de propriété. </p><p>Ces deux fonctions, à la fois compatibles et potentiellement contradictoires, imprègnent le droit positif de la propriété. </p><h5>Savoirs associés</h5><ul><li>* les attributs et les caractères du droit de propriété ; </li><li>* l’acquisition de la propriété par un acte juridique ; </li><li>* le démembrement du droit de propriété : usufruit (définition, origines, régime, extinction), nue-propriété (définition) ; </li><li>* l’abus de droit et le trouble anormal de voisinage. </li></ul>";1;;;;;;;;;
1.1.2.5.0.0;1.1.2.5.0.1;Identifier les différents modes d’acquisition dérivée de la propriété;;1;;;;;;;;;
1.1.2.5.0.0;1.1.2.5.0.2;Analyser les prérogatives du propriétaire;;1;;;;;;;;;
1.1.2.5.0.0;1.1.2.5.0.3;Analyser les droits et obligations de l’usufruitier et du nu-propriétaire;;1;;;;;;;;;
1.1.2.5.0.0;1.1.2.5.0.4;Analyser les limites du droit de propriété;;1;;;;;;;;;
1.1.2.0.0.0;1.1.2.6.0.0;2.6 Applications particulières de la propriété ;"<h5>Sens et portée de l’étude</h5><p>Depuis l’adoption du Code civil, le droit de propriété a souvent fait l’objet d’atteintes. Mais, en même temps, sa plasticité explique le succès de cette notion hors de son strict champ technique. </p><p>Le fonds de commerce est un bien unitaire, différent des éléments qui le composent. C’est aussi un bien incorporel de nature mobilière. </p><p>La propriété commerciale permet à un preneur à bail commercial d’obtenir, à l’expiration du contrat, le renouvellement du bail commercial ou, à défaut, une indemnité d’éviction. </p><p>La propriété intellectuelle protège l’inventeur (droit de la propriété industrielle) comme l’auteur (droit d’auteur). </p><h5>Savoirs associés</h5><ul><li>* le fonds de commerce : notion, composition, nature juridique ; </li><li>* le contrat de bail commercial : conditions d’application du statut des baux commerciaux, régime, droit au renouvellement ; </li><li>* la propriété industrielle : brevet et marque (conditions, procédure et effets) ; </li><li>* la propriété littéraire et artistique : conditions de la protection, droits des personnes protégées. </li></ul>";1;;;;;;;;;
1.1.2.6.0.0;1.1.2.6.0.1;Identifier les éléments constitutifs du fonds de commerce;;1;;;;;;;;;
1.1.2.6.0.0;1.1.2.6.0.2;Analyser le bail commercial, la protection du locatairepreneur et les obligations du propriétaire;;1;;;;;;;;;
1.1.2.6.0.0;1.1.2.6.0.3;Distinguer propriété industrielle et propriété littéraire et artistique;;1;;;;;;;;;
1.1.2.6.0.0;1.1.2.6.0.4;Vérifier les conditions de protection par le brevet, la marque ou le droit d’auteur;;1;;;;;;;;;
1.1.2.6.0.0;1.1.2.6.0.5;Justifier les actions possibles en cas d’atteinte à un droit de propriété intellectuelle;;1;;;;;;;;;
1.1.0.0.0.0;1.1.3.0.0.0;3- L’entreprise et les contrats (45 heures) ;;1;;;;;;;;;
1.1.3.0.0.0;1.1.3.1.0.0;3.1 Théorie générale du contrat ;"<h5>Sens et portée de l’étude</h5><p>Le contrat est à la base de la vie des affaires ; il concrétise les obligations que les parties veulent nouer entre elles. La réalisation d’un contrat fait souvent l’objet d’étapes préliminaires qui forment déjà des obligations pour les parties. Le législateur offre une grande plasticité au contrat ce qui permet de créer tout type d’obligation dans la limite du respect de l’ordre public. </p><p>Un contrat valablement formé doit, par principe, du fait du respect de la parole donnée, être correctement exécuté. En cas de non-exécution ou de mauvaise exécution du contrat, le créancier lésé dispose d’un ensemble de moyens d’action possibles prévus par la loi. </p><h5>Savoirs associés</h5><ul><li>* le contrat : définition et classification ; </li><li>* les principes fondateurs du droit des contrats ; </li><li>* la formation du contrat : phase précontractuelle (négociations contractuelles, promesse unilatérale et pacte de préférence), conclusion du contrat, conditions de validité du contrat et sanction des conditions de validité ; </li><li>* l’identification de clauses particulières : clause exclusive et limitative de responsabilité, clauses pénales, clauses résolutoires, clauses compromissoires, clauses attributives de compétence, clause de réserve de propriété ; </li><li>* l’exécution du contrat : les effets du contrat entre les parties (principe de la force obligatoire, renégociation, interprétation par le juge), les effets du contrat à l'égard des tiers (principe de l’effet relatif et exceptions), le paiement, mode normal d’exécution du contrat ; - l'inexécution du contrat : exception d’inexécution, exécution forcée en nature, réduction du prix, résolution, réparation du préjudice résultant de l'inexécution du contrat (responsabilité civile contractuelle) </li></ul>";1;;;;;;;;;
1.1.3.1.0.0;1.1.3.1.0.1;"Identifier l’existence d’un avant-contrat à travers le pacte de préférence et la promesse unilatérale ; - vérifier la conclusion du contrat et le classifier, dans une situation donnée";;1;;;;;;;;;
1.1.3.1.0.0;1.1.3.1.0.2;Expliquer l’intérêt que présente une clause contractuelle donnée pour les parties;;1;;;;;;;;;
1.1.3.1.0.0;1.1.3.1.0.3;Analyser la validité d’un contrat dans son ensemble et d’une clause particulière;;1;;;;;;;;;
1.1.3.1.0.0;1.1.3.1.0.4;Proposer des sanctions adaptées en cas d’inexécution d’un contrat;;1;;;;;;;;;
1.1.3.0.0.0;1.1.3.2.0.0;3.2 Les contrats de l’entreprise ;"<h5>Sens et portée de l’étude</h5><p>Dans la vie des affaires, l'entreprise passe de nombreux contrats. Cette mise en situation contractuelle permet le passage de la théorie générale aux « contrats spéciaux ». La matière est dominée par une double antinomie : d'une part, l'opposition entre les règles générales et spéciales, d'autre part l'opposition entre contrats nommés et contrats innommés. Par ailleurs, le droit des contrats spéciaux protège les consommateurs ou non professionnels. </p><h5>Savoirs associés</h5><ul><li>* les contrats relatifs au fonds de commerce : vente et location-gérance ; - le contrat de vente ; </li><li>* la notion de consommateur ; </li><li>* les contrats de consommation : principales règles de protection du consommateur lors de la formation et de l’exécution du contrat ; </li><li>* le contrat de crédit à la consommation ; - le compte de dépôt bancaire : création, fonctionnement, fermeture ; </li><li>* les contrats de crédit aux entreprises : contrat de prêt, escompte, affacturage, crédit-bail mobilier ; - les sûretés : caractéristiques principales du cautionnement, nantissement, gage avec dépossession et sans dépossession, hypothèque, privilèges ; - l’étendue des obligations des parties dans chaque sûreté. </li></ul>";1;;;;;;;;;
1.1.3.2.0.0;1.1.3.2.0.1;Qualifier le contrat en présence dans une situation donnée;;1;;;;;;;;;
1.1.3.2.0.0;1.1.3.2.0.2;Analyser les caractéristiques essentielles des principaux contrats de l’entreprise;;1;;;;;;;;;
1.1.3.2.0.0;1.1.3.2.0.3;Caractériser la protection des parties pour chacun des contrats;;1;;;;;;;;;
1.1.3.2.0.0;1.1.3.2.0.4;Justifier le choix d’une sûreté et ses principaux effets dans une situation donnée;;1;;;;;;;;;
1.1.0.0.0.0;1.1.4.0.0.0;4- L’entreprise et ses responsabilités (20 heures) ;"<h5>Sens et portée de l’étude</h5><p>En développant ses activités, l'entreprise peut commettre un fait ou exposer autrui à un risque causant un dommage. Dès lors, sa responsabilité civile est engagée. Celle-ci doit être distinguée de la possibilité de voir aussi sa responsabilité pénale engagée mais avec des mécanismes différents. </p><h5>Savoirs associés</h5><ul><li>* les responsabilités civile et pénale (fonctions, conditions de mise en œuvre) ; </li><li>* les responsabilités extracontractuelle et contractuelle ; </li><li>* l’étude des possibilités de cumul des différents régimes de responsabilité ; </li><li>* les conditions de la responsabilité extracontractuelle (civile délictuelle) :  </li><li>* fait générateur : le fait personnel fautif, le fait de la chose, les troubles anormaux de voisinage et le fait d’autrui ; </li><li>* préjudice réparable (classifications, caractères), - lien de causalité. </li><li>* l’étude spécifique du régime de la responsabilité du fait des produits défectueux ; </li><li>* les spécificités de la réparation du préjudice environnemental.  </li></ul>";1;;;;;;;;;
1.1.4.0.0.0;1.1.4.0.0.1;Différencier les notions de responsabilité civile et pénale;;1;;;;;;;;;
1.1.4.0.0.0;1.1.4.0.0.2;Différencier responsabilité civile extracontractuelle et responsabilité civile contractuelle;;1;;;;;;;;;
1.1.4.0.0.0;1.1.4.0.0.3;"Apprécier le respect des conditions de mise en œuvre de la responsabilité civile et les causes possibles d’exonération dans une situation juridique donnée ; - identifier les caractéristiques du préjudice réparable dans une situation juridique donnée";;1;;;;;;;;;
1.1.4.0.0.0;1.1.4.0.0.4;Vérifier la présence des conditions de la responsabilité pénale, pour une situation juridique donnée;;1;;;;;;;;;
1.1.4.0.0.0;1.1.4.0.0.5;Identifier les actions en responsabilité possibles dans une situation juridique donnée.  ;;1;;;;;;;;;
1.0.0.0.0.0;1.2.0.0.0.0;UE 2 - DROIT DES SOCIÉTÉS ET DES GROUPEMENTS D’AFFAIRES  ;<p>Niveau L – 150 heures – 14 ECTS </p>;1;;;;;;;;;
1.2.0.0.0.0;1.2.1.0.0.0;1- L’entreprise en société (40 heures) ;;1;;;;;;;;;
1.2.1.0.0.0;1.2.1.1.0.0;1.1 La notion de société ;"<h5>Sens et portée de l’étude</h5><p>Le droit des sociétés a une histoire marquée par de grandes lois complétant le Code civil. C’est un droit qui a souvent accompagné les mutations économiques. Les différentes formes sociétaires n’ont pas été créées ex nihilo mais pour répondre à des besoins. La forme sociétaire n’est toutefois pas la seule forme juridique utilisée pour l’exercice d’une activité économique. </p><h5>Savoirs associés</h5><ul><li>* définition de la société ; </li><li>* sources et évolution du droit des sociétés ; - EIRL et entreprise individuelle.  </li></ul>";1;;;;;;;;;
1.2.1.1.0.0;1.2.1.1.0.1;"Identifier les sources du droit des sociétés ; - repérer les grandes évolutions historiques et économiques ayant donné naissance aux différentes formes sociétaires";;1;;;;;;;;;
1.2.1.1.0.0;1.2.1.1.0.2;Repérer l’influence du droit européen en droit des sociétés à travers quelques exemples concrets;;1;;;;;;;;;
1.2.1.1.0.0;1.2.1.1.0.3;Chercher une forme adaptée à la situation patrimoniale de l’entrepreneur (sociétaire, EIRL, entreprise individuelle);;1;;;;;;;;;
1.2.1.0.0.0;1.2.1.2.0.0;1.2 La société - contrat <h5>Sens et portée de l’étude</h5>;"<p>La société est à la fois un contrat entre associés et une personne juridique autonome. Cette double nature donne à la société un statut juridique particulier. La nature contractuelle de la société se révèle à travers le contrat de société, acte fondateur, dont les différents éléments constitutifs doivent être étudiés avec attention. Mais au cours de la vie sociétaire, les volontés individuelles vont parfois être dépassées au profit d’un intérêt social qui s’imposera aux associés. La compréhension de cette double nature permet de voir la société comme un instrument juridique au service de la liberté individuelle et contractuelle qui a toutefois une autonomie certaine par rapport à la volonté de ses créateurs.  </p><h5>Savoirs associés</h5><ul><li>* les éléments constitutifs du contrat de société : associé(s), apports, bénéfice ou économie, affectio societatis ; </li><li>* le régime des nullités en cas d’élément constitutif manquant ; </li><li>* la terminologie des aspects juridiques intéressant les capitaux et résultats : capital social, capitaux propres, bénéfice / dividendes ; </li><li>* la nature juridique de la société : contrat, institution ; </li><li>* l’intérêt social, l’abus de droit.  </li></ul>";1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.1;Identifier les différents éléments constitutifs du contrat de société et les caractériser;;1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.2;Analyser le régime juridique des apports;;1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.3;Distinguer bénéfices et dividendes;;1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.4;Distinguer capital social et capitaux propres;;1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.5;Analyser l’influence du régime matrimonial de l’associé sur le contrat de société;;1;;;;;;;;;
1.2.1.2.0.0;1.2.1.2.0.6;Analyser l’impact du débat de la nature juridique de la société sur la notion d’intérêt social;;1;;;;;;;;;
1.2.1.0.0.0;1.2.1.3.0.0;1.3 La société, personne juridique ;"<h5>Sens et portée de l’étude</h5><p>Depuis sa création jusqu’à sa disparition, des règles juridiques vont encadrer la vie d’une société. La personnalité morale de la société lui donne une autonomie certaine qu’expriment ses statuts mais dans un cadre déterminé par la loi. Le pouvoir et les droits des associés vont varier selon l’étendue de la responsabilité financière qui leur incombe. La société sera dirigée par des organes dont les pouvoirs et les responsabilités varient selon les formes sociétaires. Les mécanismes de contrôle de la gestion de la société doivent favoriser une plus grande transparence. Un équilibre se crée dans le fonctionnement quotidien entre les dirigeants, les associés et les organes de contrôle. Parfois les aléas du fonctionnement de la société vont l’amener à disparaître. Toutes ces étapes sont encadrées par des règles juridiques destinées à maintenir ou à imposer un équilibre entre des intérêts divers et parfois contradictoires.  </p><h5>Savoirs associés</h5><ul><li>* la constitution de la société, l’acquisition de la personnalité morale, l’immatriculation de la personne morale ; </li><li>* l’identité : les attributs de la personne morale (nom, siège, patrimoine, durée, capacité).  </li></ul>";1;;;;;;;;;
1.2.1.3.0.0;1.2.1.3.1.0;1.3.1 : la naissance de la société ;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.1;Différencier constitution de la société et acquisition de la personnalité juridique;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.2;Schématiser le processus administratif aboutissant à l’acquisition de la personnalité morale;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.3;Analyser les conséquences d’un acte pris par une société en formation;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.4;Repérer les attributs de la personne morale et en analyser le régime juridique;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.5;Analyser le fonctionnement interne d’une société et sa représentation vis-à-vis des tiers;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.6;Distinguer la rémunération liée au mandat social, du salaire lié au contrat de travail;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.7;Différencier les conditions et les conséquences de l’engagement de la responsabilité de la société, des dirigeants et des associés;;1;;;;;;;;;
1.2.1.3.1.0;1.2.1.3.1.8;Apprécier les contrôles internes et externes de l’action du dirigeant et leurs conséquences;;1;;;;;;;;;
